ADP-ID,STAND_COUNT,SITES,REPS,DISEASE SCORE 3rd JUNE,DISEASE_SCORE 9TH JUNE,DISEASE_SCORE19THJUNE,BLOCKS
ADP0518,18,1,2,1,2,3,13
ADP0566,32,1,2,1,2,2,13
ADP0208,25,1,2,2,2,4,13
ADP0006,25,1,2,2,3,4,13
ADP0528,26,1,2,2,1,1,13
ADP0510,26,1,2,1,3,3,13
ADP0472,24,1,2,1,4,5,13
ADP0021,25,1,2,2,3,5,13
ADP0272,26,1,2,1,3,5,13
ADP0568,26,1,2,1,3,5,13
ADP0117,30,1,2,1,3,5,13
ADP0084,25,1,2,1,3,5,14
ADP0413,32,1,2,2,4,5,14
ADP0064,30,1,2,2,3,5,14
ADP0059,27,1,2,1,3,3,14
ADP0276,12,1,2,2,4,3,14
ADP0077,32,1,2,1,2,1,14
ADP0056,30,1,2,1,5,2,14
ADP0636,32,1,2,2,4,5,14
ADP0522,28,1,2,2,4,5,14
ADP0061,30,1,2,1,3,5,14
ADP0049,32,1,2,1,3,4,14
ADP0205,32,1,2,1,1,4,14
ADP0551,32,1,2,1,1,1,14
ADP0543,22,1,3,1,1,3,1
loc0004,29,1,3,1,2,4,1
ADP0107,30,1,3,1,1,4,1
ADP0117,23,1,3,1,3,4,1
ADP0580,23,1,3,2,4,5,1
ADP0040,24,1,3,1,3,5,1
ADP0086,27,1,3,1,3,5,1
ADP0519,24,1,3,1,3,5,1
ADP0048,17,1,3,1,3,5,1
ADP0205,31,1,3,1,1,1,1
ADP0272,24,1,3,1,2,4,1
ADP0213,25,1,3,1,2,3,1
ADP0461,16,1,3,1,1,1,1
ADP0584,30,1,3,2,4,5,2
ADP0083,24,1,3,1,1,2,2
ADP0468,30,1,3,1,1,2,2
ADP0562,32,1,3,1,3,5,2
ADP0717,17,1,3,1,1,1,2
ADP0654,32,1,3,1,3,5,2
ADP0524,6,1,3,2,1,5,2
ADP0011,27,1,3,1,3,5,2
ADP0052,20,1,3,1,1,3,2
ADP0099,26,1,3,1,2,5,2
ADP0570,30,1,3,1,3,4,2
ADP0008,28,1,3,1,2,5,2
ADP0479,16,1,3,1,2,1,2
ADP0526,31,1,3,1,2,0,3
ADP0345,27,1,3,1,1,1,3
ADP0027,22,1,3,1,2,1,3
ADP0055,28,1,3,2,2,3,3
ADP0051,22,1,3,1,3,1,3
loc0005,32,1,3,1,2,3,3
ADP0207,18,1,3,1,2,4,3
ADP0208,23,1,3,1,1,4,3
ADP0084,17,1,3,1,3,2,3
ADP0247,19,1,3,1,3,3,3
ADP0028,15,1,3,1,2,1,3
ADP0551,26,1,3,1,2,1,4
ADP0554,32,1,3,1,2,1,4
ADP0019,28,1,3,1,2,3,4
ADP0112,30,1,3,1,3,4,4
ADP0049,30,1,3,1,4,5,4
ADP0481,29,1,3,1,3,5,4
ADP0045,21,1,3,1,1,1,4
ADP0739,28,1,3,1,1,3,4
ADP0047,22,1,3,1,2,3,4
ADP0224,15,1,3,1,3,1,4
ADP0540,32,1,3,1,1,4,5
ADP0648,26,1,3,1,2,4,5
ADP0582,31,1,3,1,2,3,5
ADP0466,27,1,3,1,1,2,5
ADP0571,24,1,3,1,1,2,5
ADP0098,26,1,3,1,1,2,5
ADP0546,28,1,3,1,3,5,5
ADP0199,17,1,3,1,2,2,5
ADP0070,22,1,3,1,2,1,5
ADP0100,26,1,3,1,2,0,6
ADP0046,27,1,3,1,3,4,6
ADP0043,32,1,3,1,4,4,6
ADP0042,26,1,3,1,2,2,6
ADP0650,29,1,3,1,1,4,6
ADP0186,26,1,3,1,3,1,6
ADP0561,28,1,3,1,2,1,6
ADP0465,25,1,3,1,3,5,6
ADP0041,24,1,3,2,3,1,6
ADP0560,30,1,3,1,2,4,6
ADP0508,20,1,3,1,2,0,7
ADP0115,29,1,3,1,2,0,7
ADP0528,28,1,3,1,1,1,7
ADP0277,27,1,3,1,2,3,7
ADP0106,23,1,3,1,2,2,7
ADP0539,31,1,3,1,1,4,7
ADP0467,28,1,3,1,2,5,7
ADP0021,22,1,3,2,2,5,7
ADP0038,23,1,3,1,2,4,7
ADP0555,24,1,3,1,1,1,7
ADP0520,20,1,3,1,2,0,8
ADP0127,27,1,3,1,2,3,8
ADP0379,18,1,3,1,3,3,8
ADP0054,29,1,3,2,3,3,8
ADP0053,28,1,3,1,1,1,8
ADP0395,28,1,3,1,1,1,8
ADP0077,22,1,3,1,3,3,8
ADP0471,20,1,3,1,2,2,8
ADP0303,28,1,3,1,3,5,8
ADP0510,28,1,3,1,4,1,8
ADP0030,23,1,3,1,1,1,8
ADP0587,26,1,3,1,4,0,9
ADP0636,27,1,3,1,4,0,9
ADP0288,22,1,3,1,2,0,9
ADP0662,23,1,3,1,3,5,9
ADP0064,21,1,3,1,2,4,9
ADP0276,13,1,3,2,3,5,9
ADP0532,26,1,3,1,1,1,9
ADP0566,28,1,3,1,1,1,9
ADP0015,14,1,3,1,1,1,9
loc0002,16,1,3,1,2,0,10
ADP0383,26,1,3,1,1,2,10
ADP0569,26,1,3,1,2,5,10
ADP0118,22,1,3,1,1,2,10
ADP0462,25,1,3,1,4,5,10
ADP0168,29,1,3,2,3,5,10
ADP0214,26,1,3,1,1,4,10
ADP0392,26,1,3,2,3,3,10
ADP0012,18,1,3,1,2,1,10
ADP0018,22,1,3,1,1,2,10
ADP0581,32,1,3,1,4,0,11
ADP0663,27,1,3,1,2,0,11
ADP0563,31,1,3,1,4,5,11
loc0001,29,1,3,1,4,3,11
ADP0122,25,1,3,1,2,5,11
ADP0573,29,1,3,3,4,5,11
ADP0517,27,1,3,2,2,4,11
ADP0353,29,1,3,1,2,3,11
ADP0346,24,1,3,1,2,1,11
ADP0111,21,1,3,1,2,1,11
ADP0659,21,1,3,1,1,1,12
ADP0166,26,1,3,1,1,1,12
ADP0536,20,1,3,1,1,1,12
ADP0518,17,1,3,1,3,4,12
ADP0516,15,1,3,1,2,2,12
ADP0025,23,1,3,1,2,4,12
ADP0522,24,1,3,1,4,4,12
ADP0078,24,1,3,2,4,3,12
ADP0551,22,1,3,1,1,1,12
ADP0061,22,1,3,2,1,1,12
ADP0065,18,1,3,1,3,3,13
ADP0062,21,1,3,1,3,3,13
ADP0585,27,1,3,1,2,3,13
ADP0271,8,1,3,1,3,3,13
ADP0255,25,1,3,1,1,3,13
ADP0022,18,1,3,1,1,1,13
ADP0126,13,1,3,1,1,3,13
ADP0530,30,1,3,1,1,1,13
ADP0037,24,1,3,1,4,5,13
ADP0472,29,1,3,1,4,5,13
ADP0006,25,1,3,1,2,4,13
loc0003,5,1,3,1,1,1,13
ADP0005,28,1,3,1,1,1,13
ADP0013,25,1,3,1,3,0,14
ADP0459,26,1,3,1,2,1,14
ADP0537,26,1,3,1,3,1,14
ADP0267,26,1,3,2,2,2,14
ADP0014,22,1,3,1,1,2,14
ADP0413,22,1,3,1,3,2,14
ADP0531,30,1,3,1,4,5,14
ADP0029,24,1,3,1,4,2,14
ADP0017,25,1,3,1,2,3,14
ADP0020,18,1,3,1,1,1,14
ADP0719,27,1,3,1,1,1,14
ADP0041,14,2,1,1,1,2,1
ADP0562,24,2,1,1,2,5,1
ADP0247,22,2,1,1,1,5,1
ADP0654,27,2,1,1,1,2,1
ADP0107,21,2,1,2,2,3,1
ADP0539,28,2,1,1,3,5,1
ADP0522,21,2,1,1,1,1,1
ADP0636,24,2,1,1,1,1,1
ADP0288,21,2,1,1,2,5,1
ADP0025,11,2,1,1,3,5,1
ADP0663,28,2,1,2,4,5,1
ADP0047,22,2,1,1,2,5,1
ADP0205,19,2,1,1,1,1,2
ADP0648,20,2,1,1,2,3,2
ADP0084,20,2,1,1,1,5,2
ADP0052,17,2,1,1,1,5,2
ADP0739,29,2,1,1,1,1,2
ADP0554,26,2,1,1,2,1,2
ADP0059,19,2,1,1,1,1,2
ADP0520,22,2,1,1,1,1,2
ADP0012,24,2,1,2,1,5,2
ADP0383,23,2,1,1,1,5,2
ADP0005,20,2,1,1,1,1,2
ADP0070,16,2,1,1,3,5,2
ADP0099,19,2,1,1,4,5,2
ADP0536,14,2,1,1,4,5,3
ADP0471,12,2,1,1,1,1,3
ADP0213,24,2,1,1,1,5,3
ADP0098,24,2,1,1,3,5,3
ADP0106,20,2,1,1,1,2,3
ADP0560,30,2,1,1,1,3,3
ADP0030,20,2,1,1,1,1,3
ADP0006,22,2,1,1,1,4,3
ADP0037,16,2,1,1,1,3,3
ADP0013,19,2,1,1,1,3,3
ADP0651,22,2,1,1,2,4,3
ADP0719,28,2,1,1,1,1,3
ADP0510,24,2,1,1,1,5,3
ADP0717,20,2,1,1,1,5,4
ADP0038,14,2,1,1,1,5,4
ADP0102,27,2,1,1,1,5,4
ADP0303,20,2,1,1,2,5,4
ADP0540,30,2,1,1,2,1,4
ADP0465,14,2,1,1,1,5,4
ADP0551,22,2,1,1,1,1,4
ADP0528,31,2,1,1,1,5,4
ADP0518,22,2,1,1,1,5,4
ADP0537,29,2,1,1,1,1,4
ADP0117,28,2,1,1,1,2,4
ADP0462,30,2,1,1,1,3,4
ADP0584,26,2,1,1,1,2,4
ADP0224,22,2,1,1,1,5,5
ADP0546,20,2,1,1,3,5,5
ADP0561,32,2,1,1,3,2,5
ADP0019,29,2,1,1,1,2,5
ADP0035,26,2,1,1,2,4,5
ADP0207,17,2,1,2,1,4,5
ADP0276,14,2,1,1,1,2,5
ADP0015,25,2,1,1,1,2,5
ADP0089,23,2,1,1,1,2,5
ADP0166,27,2,1,1,2,2,5
loc0003,10,2,1,1,1,1,5
loc0006,28,2,1,1,1,4,5
ADP0208,24,2,1,1,1,5,5
ADP0580,26,2,1,2,1,5,6
ADP0077,20,2,1,1,1,3,6
ADP0016,25,2,1,1,1,3,6
ADP0167,28,2,1,1,1,1,6
ADP0571,29,2,1,1,1,1,6
ADP0046,28,2,1,1,1,5,6
ADP0392,25,2,1,1,1,3,6
ADP0267,24,2,1,1,2,3,6
ADP0126,13,2,1,1,2,4,6
ADP0478,17,2,1,1,1,1,6
ADP0020,17,2,1,1,1,3,6
ADP0065,23,2,1,1,1,1,6
ADP0468,30,2,1,1,1,1,6
ADP0051,17,2,1,1,1,2,7
ADP0526,29,2,1,1,1,1,7
loc0004,27,2,1,1,1,2,7
ADP0100,28,2,1,1,1,1,7
ADP0555,25,2,1,1,1,1,7
ADP0042,21,2,1,1,1,2,7
ADP0566,32,2,1,1,1,1,7
ADP0017,29,2,1,1,1,4,7
ADP0516,20,2,1,1,1,4,7
ADP0581,28,2,1,3,2,5,7
ADP0551,21,2,1,1,1,1,7
ADP0040,27,2,1,1,1,1,7
ADP0519,29,2,1,1,1,5,7
ADP0055,28,2,1,1,1,1,8
ADP0027,19,2,1,1,3,3,8
ADP0199,18,2,1,1,1,1,8
ADP0466,23,2,1,1,1,1,8
ADP0277,31,2,1,1,2,3,8
ADP0064,26,2,1,1,1,1,8
ADP0029,28,2,1,1,1,5,8
ADP0122,26,2,1,1,1,1,8
ADP0573,24,2,1,1,4,5,8
ADP0517,26,2,1,1,1,3,8
ADP0529,28,2,1,1,1,1,8
ADP0117,26,2,1,1,3,5,8
ADP0479,28,2,1,1,1,3,8
ADP0043,28,2,1,1,1,1,9
ADP0345,26,2,1,1,2,5,9
ADP0048,29,2,1,1,2,1,9
ADP0379,25,2,1,1,1,2,9
ADP0127,27,2,1,1,1,4,9
ADP0211,26,2,1,1,1,1,9
ADP0346,21,2,1,1,1,3,9
ADP0062,21,2,1,1,1,3,9
ADP0569,26,2,1,2,4,5,9
ADP0255,26,2,1,1,1,1,9
loc0001,31,2,1,1,2,5,9
loc0005,31,2,1,1,1,1,9
ADP0086,26,2,1,1,1,1,9
ADP0310,26,2,1,1,3,5,10
ADP0115,25,2,1,1,1,2,10
ADP0582,30,2,1,1,3,5,10
ADP0056,27,2,1,1,2,2,10
ADP0186,28,2,1,1,2,1,10
ADP0075,24,2,1,1,1,3,10
ADP0585,30,2,1,2,2,3,10
ADP0662,19,2,1,3,4,5,10
ADP0061,23,2,1,1,1,1,10
ADP0524,4,2,1,1,1,1,10
ADP0028,24,2,1,1,1,1,10
ADP0083,23,2,1,1,1,2,10
ADP0661,27,2,1,3,4,3,11
ADP0650,29,2,1,1,1,2,11
ADP0568,23,2,1,2,1,1,11
ADP0481,26,2,1,1,1,1,11
ADP0525,18,2,1,1,1,1,11
ADP0103,22,2,1,1,1,1,11
ADP0587,30,2,1,2,1,2,11
ADP0022,23,2,1,1,1,1,11
ADP0078,25,2,1,1,1,1,11
loc0002,28,2,1,1,1,1,11
ADP0121,30,2,1,1,1,1,11
ADP0168,27,2,1,1,3,5,11
ADP0272,28,2,1,3,1,2,11
ADP0045,22,2,1,1,1,2,12
ADP0009,9,2,1,1,1,2,12
ADP0031,25,2,1,1,3,4,12
ADP0543,23,2,1,1,1,1,12
ADP0090,30,2,1,1,1,4,12
ADP0353,26,2,1,1,3,4,12
ADP0472,27,2,1,2,1,1,12
ADP0659,25,2,1,1,1,1,12
ADP0008,29,2,1,1,1,3,12
ADP0011,25,2,1,3,1,4,12
ADP0570,30,2,1,1,1,5,12
ADP0461,23,2,1,2,1,5,12
ADP0188,24,2,1,1,4,3,13
ADP0395,17,2,1,1,1,2,13
ADP0523,27,2,1,1,1,1,13
ADP0475,26,2,1,1,1,2,13
ADP0508,16,2,1,1,1,1,13
ADP0053,30,2,1,1,2,4,13
ADP0531,25,2,1,1,2,5,13
ADP0563,31,2,1,1,2,4,13
ADP0354,24,2,1,1,1,5,13
ADP0018,23,2,1,1,1,5,13
ADP0214,30,2,1,1,1,4,13
ADP0014,13,2,1,1,1,1,13
ADP0729,13,2,1,1,1,1,13
ADP0049,25,2,1,2,4,5,14
ADP0021,12,2,1,1,1,5,14
ADP0112,28,2,1,1,1,1,14
ADP0054,28,2,1,1,3,3,14
ADP0467,29,2,1,1,1,1,14
ADP0413,30,2,1,1,1,1,14
ADP0532,31,2,1,1,2,5,14
ADP0459,30,2,1,1,1,3,14
ADP0530,30,2,1,1,2,3,14
ADP0111,26,2,1,1,1,5,14
ADP0105,30,2,1,1,2,3,14
ADP0096,28,2,1,1,1,3,14
ADP0053,25,2,2,2,4,5,1
